GaiaEDR3,Teff,logY
662771594747150976,35097,-1.92
662848247026938240,28722,-2.55
663084577604389760,34393,-0.57
663184216548543488,35057,-1.8
663284100308467200,,
663802902294594944,33595,-2.23
664164190647132288,,
664191231760782976,29663,-2.7
664296101979220992,,
664631178147534720,33427,-2.5
666366825970985088,,
666988874675710464,49280,0.47
667052165313596032,25936,-2.4
667308798199419776,41329,-2.99
668004342382222976,35600,-2.8
668963357040208512,46100,1.2
669097841055847296,31448,-1.57
669564132768493056,,
669989781207531904,80000,
671353867118310528,32261,-3.42
671837991534596480,26183,-2.2
672691045055412608,,
673058556816796288,33988,-1.7
673132224095720320,,
673296699867377024,28310,-3.0
673854461500153216,,
674255203425267584,51160,-2.43
675167278383668096,,
675213084211549696,33900,-1.77
675664193216392704,31968,-2.09
676310328100433152,,
676607952150024448,32451,-1.89
677388055649732736,,
677695609668436736,,
677934238056557312,,
678116344664890368,30455,-2.77
678554530111158400,,
680914734899282560,27934,-2.69
681252216249802624,,
682016101952956672,,
682072009543970688,,
682305655764689408,38848,-3.28
683503535026962304,,
683689734745224064,,
683766356962547840,41481,-3.36
684061777696508544,25616,-2.5
684097584839678848,,
684794430397788672,35526,-1.92
685761455170072192,32406,-2.42
685761455170072192,30536,-2.5
686914018234285184,,
687242939713414400,51879,1.49
687691269876173056,,
689367475352913280,56847,-1.78
690001549964561792,70000,-1.79
690346315579638656,,
691397787996760704,33864,-1.91
693530909274021760,35259,
693709343690705152,,
693825166073225472,35251,-2.92
694109462844643072,32758,-2.52
694109462844643072,32712,-2.71
694396293644399232,,
694422166530369536,,
694513086691301504,37773,-2.93
695059062934110592,35500,-1.0
695726844449223040,33057,-1.4
696825909400614784,,
697406932576439680,30548,-2.34
697707958245002880,35134,-1.65
697707958245002880,35290,-1.66
697904599026844160,33427,-1.7
698115121143554176,47627,-2.79
700362419831670016,40830,0.59
700583559107792000,,
700864205154799232,60894,0.26
701197911230156672,32448,-2.59
706479277895031040,30319,-2.18
706760168755893888,28900,-2.5
707100124007146112,35403,-2.49
708829002962898304,,
710337051880367616,29483,-2.77
711773838699959296,36385,-0.73
711773838699959296,39188,-0.81
712415021480712448,37059,-2.0
713075175134415360,,
713730106107112064,,
714378547386449664,37257,-1.5
716803722143404160,36925,-0.6
717837610967127424,,
718402897382488192,,
719606175420853888,31725,-3.0
720684139195830528,,
722250393509458048,25557,-2.77
723000539612586752,34800,-1.5
723318126674671104,32171,-2.1
724806143863825664,21900,-1.8
725596039889025024,23240,-4.23
725792096556385664,,
727435316684008832,42792,-3.16
729598330934052480,33792,-1.8
730325584860775424,71152,0.35
731743061507469568,37733,-0.5
731743061507469568,37216,-0.48
732525643203984896,37241,-2.26
732525643203984896,34173,-2.31
732692631532422528,36909,-1.44
736957808935190656,29279,-3.24
737502337773847040,,
739156243780100352,61120,-1.72
739200842720482176,,
739567151891152896,61866,-0.64
741795587082716672,30700,-3.0
744087553430501120,31655,-2.64
744256294105498368,,
744485198682852608,35200,-3.0
744660849960764544,45754,2.3
749690011850710528,,
752309185986742912,,
753807962069995648,,
755712414993199744,29800,-2.1
755982551256094336,36962,-1.1
758401167599602304,,
758882689268491904,,
759447151050019584,22382,-2.51
760930907631979904,37753,-2.7
762447782706693376,,
762842820913806464,,
764310046166678400,27421,-2.1
764862555054772224,,
765113690382156160,36520,-1.16
765141620554406656,37800,-0.6
767656276661925632,,
768773032582910336,,
769397353324856448,43313,-0.94
770464459423917312,47100,1.7
771367089750837376,,
772443923954425984,,
772988976776168320,,
774541070582786944,,
775637524193477760,,
777283596179360128,60741,1.38
779026562627776896,,
780253140863277184,31600,-2.3
780644081671047936,,
781164326766404736,62400,-1.75
782711202186877952,40000,
783541848870827264,27343,-4.21
783786176665979136,,
784355075149419904,,
785334460836557696,,
785980977968930560,48889,1.09
786220877662239488,33402,-3.77
786919754746647424,,
790362085130394752,,
791009766199488128,40066,-1.61
793720783914955392,51000,1.8
794980338907894784,24570,-3.34
795599295234470016,,
795692959881682560,,
795785941630955392,47988,1.83
795959630108543232,26050,-2.86
795959630108543232,26397,-2.88
795998387893409152,25315,-2.7
798187240665539328,,
798878421163518080,,
799256069046789888,,
799852343654303360,,
800799439774706560,28442,-2.52
802020653597763584,31694,-1.49
803736166614876544,36400,-2.7
805690720332579456,42046,-3.21
807194989676056448,,
809117348318721664,51204,1.33
809530829113271552,,
809998950485080192,30925,-3.0
810691780249660800,33588,-1.78
810807778726301952,48000,
814825359855220352,,
815106177700219392,45561,0.99
816805442855642496,36317,-1.92
816879969128955008,29668,-3.0
818548959060555776,22855,-2.0
818937017945804160,31900,-2.55
819541538887077120,28100,-2.5
819580571549521280,,
820883909442478336,,
821254857177030272,,
821412838957446400,28500,-2.3
821622364642541184,,
821716652060662144,35723,-2.55
822338490313075712,40082,0.13
822945768622050048,28690,-2.4
822992459209771392,52598,
823514280556236032,,
824447697209172096,,
825628714431805056,47565,1.99
826139742524515584,49147,0.2
826393940164898944,,
828120310859359104,50354,1.49
831501240400109824,40083,1.92
832788184395879424,67647,-0.83
832980633290384256,33800,-1.4
833223213044650240,,
833475855904134400,52458,1.71
835032283332319360,39371,-0.14
836471823228155392,50656,1.06
836644480912524288,52204,0.94
836644480912524288,55971,1.43
837007590331263360,42431,-3.28
838229972383622272,,
838579415218967552,,
840622136024660608,34694,-1.9
841328602308941184,,
842528826626718976,,
842881009648737536,,
843950873117830528,93900,-1.07
844818765749387392,34245,-2.87
846070525377462528,35158,-2.0
846265207655248256,38022,-0.47
846615127231002880,,
849277216680457600,26127,-2.7
851323029862473984,31123,-2.74
852930649005313408,24260,-2.0
853694603428380032,,
859030327199580416,29900,-3.2
859683853719128192,29500,-2.93
860362767789529344,,
860606928089296384,29682,-1.72
861131120258998656,,
862624635006463232,28800,-2.8
862792310530019328,29300,-2.3
863854537545970304,,
864917013671899648,44021,-2.12
865037169677723904,45000,
865485804780959104,35579,-0.94
865746217238417792,28100,-3.0
867120671195412992,,
867462447513567744,,
867583599950832384,,
868529562204066688,29336,-2.45
868629853983892480,,
868817943488022016,26339,-2.38
869050009160765056,29740,-3.4
869167966142655616,33126,-3.38
869444768195598848,36635,-1.6
869890070404469760,45724,-2.51
871356544038051712,,
872072016870129024,33039,-4.23
872122177791852288,35808,-1.73
872322087046515840,39187,0.72
872322087046515840,36217,0.62
872695092069071360,32331,-2.3
873233784048233344,66680,0.68
873508524515443328,76226,1.53
873767017124252544,34162,-1.94
874803719149459968,,
875674287544443520,,
876899384015459456,,
877023839284105600,,
877431345781684480,32818,-1.67
877744947113226880,21398,-2.16
878533842411006464,,
879166065892619904,27910,-2.75
879237740307303040,30760,-1.85
879556388224330624,,
879823195888098560,30211,-3.09
880252005422941440,31036,-2.53
880572783644579072,41077,0.29
880922565781344256,30714,-2.38
881807603922611072,,
881914840670141696,35493,-1.1
882087811884800896,50333,0.82
882087811884800896,47689,1.29
882125367078828672,27295,-2.51
882528612967934976,33544,-2.12
882528612967934976,35100,-1.7
883309884699633280,31115,-2.73
883333730358019584,26345,-1.92
884393900085830144,30552,-1.85
885587110718845568,,
885963418573729792,32693,-1.58
886044606339835136,25900,-2.6
887446174427959040,31180,-2.3
887620515740571264,33230,-2.05
888223499085060096,,
889227112683938816,33232,-1.96
890320572701102592,30083,-3.76
890570337935290752,,
890999113110501760,27939,-3.32
891401431287038848,25380,-2.6
891442899194878208,30947,-2.38
892549282770576128,65574,-1.71
892669202553105408,22345,-2.47
893213456512445696,,
893467615497884544,37257,-3.2
893579422086560768,22196,-3.19
893594510306886784,25759,-2.48
893663779539437696,34251,-2.92
894110589280999040,,
894606743903891072,,
894687424865365120,53360,-1.46
895638532487152128,,
895863215112127616,37500,-3.0
895907607894131840,20400,-2.1
896307108572160768,,
896985094929733120,,
897707263615279872,27755,-2.76
898625493262383104,32972,-2.68
898706032489528064,28499,-3.73
900023316139556992,,
900788782390545408,,
900899734281274112,32400,-2.0
902154929884483456,33918,-1.35
902948090084293632,,
903952524020239360,,
904057802258610688,,
